Year,Long,Lat,Reference,Link,Photo
Wells et al. 2022,36.89697568,0.291653036,"Wells H, Crego RD, Ekadeli J, Namoni M, Kimuyu D, Odadi W, Porensky L, Dougill AJ, Stringer L, Young T. 2022. Less is more: Lowering cattle stocking rates enhances wild herbivore habitat use and cattle foraging efficiency. Frontiers in Ecology and Evolution. 10:825689. doi: 10.3389/fevo.2022.825689",https://drive.google.com/file/d/1aTzMLfDBVcUo10YzYeHgThchKYsJ9iaS/view,https://res.cloudinary.com/decpournu/image/upload/v1701088444/25_ymgnxo.png
Crego et al. 2022,-78.16380537,38.88771737,"Crego RD, Stabach JA, Connette G. 2022. Implementation of species distribution models in Google Earth Engine. Diversity and Distributions. DOI: 10.1111/ddi.13491",https://drive.google.com/file/d/1aTiIFki9t4mBQP8fMuDxFGXuG1qccqOt/view,https://res.cloudinary.com/decpournu/image/upload/v1701088444/26_km7rys.png
Monk et al. 2022,-69.34654416,-29.06362364,"Monk JD, Smith JA , Donadio E, Perrig PL, Crego RD, Fileni M, Bidder O, Lambertucci SA, Pauli JN, Schmitz OJ, Middleton AD. 2022. Cascading effects of a disease outbreak in a remote protected area. Ecology Letters. DOI: 10.1111/ele.13983",https://drive.google.com/file/d/1aU-kvd7_ddVCY11EcFYeP7Y_nPS9JEQk/view,https://res.cloudinary.com/decpournu/image/upload/v1701088441/27_aeily7.png
Stabach et al. 2022,35.33843666,-1.388374656,"Stabach JA, Hughey LF, Crego RD, Fleming CH, Hopcraft JGC, Leimgruber P, Morrison TA, Ogutu JO, Reid RS, Worden JS, Boone RB. 2022. Increasing anthropogenic disturbance restricts wildebeest movement across East African grazing systems. Frontiers in Ecology and Evolution. 10:846171. doi:10.3389/fevo.2022.846171",https://drive.google.com/file/d/1zauoZESxUZBylqATloQFJLcBl5HSl-8V/view,https://res.cloudinary.com/decpournu/image/upload/v1701088441/28_vlfp85.png
Rozzi et al. 2022,-68.71014642,-56.50927262,"Rozzi R, Quilodrán CS, Botero-Delgadillo E, Crego RD, Napolitano C, Barroso O, MacKenzie R, Torres-Mura JC, Bravo C, Ippi S, Quirici V, Rivero-de-Aguilar J, Suazo CG, Goffinet B, Kempenaers B, Poulin E, Vásquez RA. 2022. Aphrastura subantarctica:    the Subantarctic Rayadito, a new bird species on the Southernmost islands of the Americas. Scientific Reports. 12:13957. https://doi.org/10.1038/s41598-022-17985-4.",https://drive.google.com/file/d/12_2p1bfaMxnn-3y3T3OUj3kjIVrCWN4c/view,https://res.cloudinary.com/decpournu/image/upload/v1701088446/29_vfpzmt.png
Wells et al. 2022,36.89697568,0.291653036,"Wells H, Crego RD, Alston J, Ndung'u SK, Khasoha L, Reed C, Hassan A, Kurukura S, Ekadeli, J, Namoni M, Kartzinel T, Palmer T, Pringle R, Goheen J, Stewart P, Kimuyu D, Wolf A, Young T. 2022. Wild herbivores enhance resistance to invasion by exotic cacti in an African savanna. Journal of Ecology 111, 33-34. doi:10.1111/1365-2745.14010. Shared first authorship. Journal cover.",https://drive.google.com/file/d/14I7N9SgEQDcP3bvl3ip-_-IH4FnIRNu1/view,https://res.cloudinary.com/decpournu/image/upload/v1701088442/30_acqrec.png
Brown et al. 2023,23.8316453,6.666694791,"Brown M, Fennessy J, Crego RD, Fleming C, Alves J, Brandlová K, Fennessy S, Ferguson S Hauptfleisch M, Hejcmanová P, Hoffman R, Leimgruner P, Masiaine S, McQualter K, Mueller T, Muller B, Muneza A, O'Connor D, Olivier A, Rabeil T, Seager S, Stacy-Dawes J, van Schalkwyk L, Stabach JA. 2023. Ranging behaviours across ecological and anthropogenic disturbance gradients: a pan-African perspective of giraffe (Giraffa spp.) space use. Proc. R. Soc. B 290: 20230912. https://doi.org/10.1098/rspb.2023.0912",https://drive.google.com/file/d/17411qf9CsF9SBGqssdprb8N62Fle4F8T/view,https://res.cloudinary.com/decpournu/image/upload/v1701088434/31_too52y.png
Crego et al. 2023,36.89697568,0.291653036,"Crego RD, Fennessy J, Brown MB, Connette G, Stacy-Dawes J, Masiaine S, Stabach JA. 2023. Combining species distribution models and moderate resolution satellite information to guide conservation programs for reticulated giraffe. Animal Conservation. DOI: 10.1111/ACV.12894",https://drive.google.com/file/d/17KZxkNDopqxlOByDU9X3s9UL_HFnqqiq/view,https://res.cloudinary.com/decpournu/image/upload/v1701088435/32_n2nnji.png
Imron et al. 2023,101.7108513,-0.401868826,"Imron MA, Glass DM, Tafrichan M, Crego RD, Stabach JA, Leimgruber P. 2023. Beyond protected areas: The importance of mixed-use landscapes for the conservation of Sumatran elephants (Elephas maximus sumatranus). Ecology and Evolution. https://doi.org/10.1002/ece3.10560",https://drive.google.com/file/d/18HXVe5Uu7CQ0eW-tksCUqQHu9aFA-n0A/view,https://res.cloudinary.com/decpournu/image/upload/v1701089414/33_qghnwj.png
Crego et al. 2023,35.33843666,-1.388374656,"Crego RD, Wells H, Connette G, Stabach JA, Naitareu S, Thompson S. 2023. Monitoring spatiotemporal dynamics of large herbivores across an African rangeland using hierarchical multi-species distance sampling. African Journal of Ecology. https://doi.org/10.1111/aje.13219",https://drive.google.com/file/d/18IZYPB0nHN-PfHhrly26Py3StwCswrqh/view,https://res.cloudinary.com/decpournu/image/upload/v1701089420/34_p40evg.png
Crego et al. 2023,11.29482454,15.86517962,"Crego RD, Hernández-Yáñez H, Rabeil T, Hingrat Y, Leimgruber P, Stabach JA. 2023. Non-systematic surveys reveal increases in areas occupied by endangered and data-deficient Nubian bustard. Global Ecology & Conservation. e02682. https://doi.org/10.1016/j.gecco.2023.e02682",https://drive.google.com/file/d/18JggDBNxh65Mxy2AI1rC08BvQPN8iOKD/view,https://res.cloudinary.com/decpournu/image/upload/v1701089428/35_cxzrdx.png
Pione et al. 2024,99.0095887,12.098117,"Pyone KHH., Crego RD, Ngwe SS, Win SD, Connette KL, Songer M, Connette GM. 2024. Understanding the transition of community land use from shifting cultivation to cash cropping in southern Tanintharyi, Myanmar. People and Nature, 00, 1–13. ",https://besjournals.onlinelibrary.wiley.com/doi/10.1002/pan3.10631,https://res.cloudinary.com/decpournu/image/upload/v1711487595/36_bmppxa.png
Gmez-Silva et al. 2024,-67.65821989,-54.95310904,"Gómez-Silva V, Crego RD, Jaksic FM, Flores-Brenner G, Schüttler E. 2024. Understanding ground-nesting habitat selection by waterbirds to prioritize invasive predator control on islands. Basic and Applied Ecology, 78, 14-22. https://doi.org/10.1016/j.baae.2024.04.007.",https://drive.google.com/open?id=18vYkDs-A0bwlVmWzYB26Uq9BGbNAp9NV&usp=drive_fs,https://res.cloudinary.com/decpournu/image/upload/v1720867641/37_zw9mqa.png
Silva-Rodríguez et al. 2024,-69.665067,-54.74847,"Silva-Rodríguez EA, Cortés EI, Álvarez X, Cabeza D, Cáceres B, Cariñanos A, Crego RD, Cisternas G, Godoy C, González J, Ivanovich-Hichins R, Jara J, Jiménez-Torres M, Lopetegui M, Martínez M, Matamala O, Ojeda F, Paredes F, Rodríguez R, Sandoval J, Schüttler E, Ulloa-Vera C, Valencia C, Valencia-Cárdenas M, Vásquez V, Videla F, Vilaboa A, Zlatar A, Corti P. 2024. A camera-trap assessment of the native and invasive mammals present in protected areas of Magallanes, Chilean Patagonia. Gayana 88:27–43.",https://drive.google.com/open?id=18yulIHOWeK7PEWnSavN9-QlRmbnZq3rM&usp=drive_fs,https://res.cloudinary.com/decpournu/image/upload/v1720867641/38_ouyutj.png
,,,,,
